2026-05-12 14:35:02.316 [main] INFO  Utils - [TestNG] Running:
  D:\Automation Practice\OrangeHRME2EV126\testng.xml

2026-05-12 14:35:02.680 [TestNG-test-Test1-3] INFO  BaseClass - Properties Loaded
2026-05-12 14:35:02.679 [TestNG-test-Test1-2] INFO  BaseClass - Properties Loaded
2026-05-12 14:35:02.682 [TestNG-test-Test1-1] INFO  BaseClass - Properties Loaded
2026-05-12 14:35:09.487 [TestNG-test-Test1-2] INFO  BaseClass - Browser Launched Successfully
2026-05-12 14:35:09.488 [TestNG-test-Test1-1] INFO  BaseClass - Browser Launched Successfully
2026-05-12 14:35:09.488 [TestNG-test-Test1-3] INFO  BaseClass - Browser Launched Successfully
2026-05-12 14:35:35.540 [TestNG-test-Test1-2] INFO  BaseClass - Navigated to Application URL
2026-05-12 14:35:35.949 [TestNG-test-Test1-2] INFO  HomePageTest - 30
2026-05-12 14:35:35.949 [TestNG-test-Test1-2] INFO  HomePageTest - Provide Valid Username and Password
2026-05-12 14:35:37.470 [TestNG-test-Test1-1] INFO  BaseClass - Navigated to Application URL
2026-05-12 14:35:37.502 [TestNG-test-Test1-3] INFO  BaseClass - Navigated to Application URL
2026-05-12 14:35:37.535 [TestNG-test-Test1-1] INFO  LoginPageTest - 29
2026-05-12 14:35:37.535 [TestNG-test-Test1-1] INFO  LoginPageTest - Provide Invalid Username and Password
2026-05-12 14:35:40.507 [TestNG-test-Test1-2] INFO  HomePageTest - Successfully Logged into Application
2026-05-12 14:35:41.107 [TestNG-test-Test1-3] INFO  DataDrivenTest - 31
2026-05-12 14:35:41.107 [TestNG-test-Test1-3] INFO  DataDrivenTest - Provide Valid Username and Password
2026-05-12 14:35:41.903 [TestNG-test-Test1-3] INFO  DataDrivenTest - Successfully Logged into Application
2026-05-12 14:35:43.653 [TestNG-test-Test1-1] INFO  LoginPageTest - Error message is displayed
2026-05-12 14:35:43.666 [TestNG-test-Test1-1] INFO  LoginPageTest - 29
2026-05-12 14:35:43.667 [TestNG-test-Test1-1] INFO  LoginPageTest - Provide Valid Username and Password
2026-05-12 14:35:44.269 [TestNG-test-Test1-1] INFO  LoginPageTest - Successfully Logged into Application
2026-05-12 14:35:50.952 [TestNG-test-Test1-2] INFO  HomePageTest - Dashboard is Displayed
2026-05-12 14:35:51.461 [TestNG-test-Test1-1] INFO  LoginPageTest - Dashboard is Displayed
2026-05-12 14:35:51.480 [TestNG-test-Test1-3] INFO  DataDrivenTest - Dashboard is Displayed
