2026-05-14 13:28:04.214 [main] INFO  Utils - [TestNG] Running:
  D:\Automation Practice\OrangeHRME2EV126\testng.xml

2026-05-14 13:28:04.505 [TestNG-test-OrangeHRM_ChromeTest-3] INFO  BaseClass - Properties Loaded
2026-05-14 13:28:04.505 [TestNG-test-OrangeHRM_ChromeTest-2] INFO  BaseClass - Properties Loaded
2026-05-14 13:28:04.505 [TestNG-test-OrangeHRM_ChromeTest-1] INFO  BaseClass - Properties Loaded
2026-05-14 13:28:04.505 [TestNG-test-OrangeHRM_ChromeTest-4] INFO  BaseClass - Properties Loaded
2026-05-14 13:28:10.058 [TestNG-test-OrangeHRM_ChromeTest-2] INFO  BaseClass - Browser Launched Successfully
2026-05-14 13:28:10.058 [TestNG-test-OrangeHRM_ChromeTest-3] INFO  BaseClass - Browser Launched Successfully
2026-05-14 13:28:10.060 [TestNG-test-OrangeHRM_ChromeTest-1] INFO  BaseClass - Browser Launched Successfully
2026-05-14 13:28:10.081 [TestNG-test-OrangeHRM_ChromeTest-4] INFO  BaseClass - Browser Launched Successfully
2026-05-14 13:28:12.883 [TestNG-test-OrangeHRM_ChromeTest-2] INFO  BaseClass - Navigated to Application URL
2026-05-14 13:28:12.951 [TestNG-test-OrangeHRM_ChromeTest-1] INFO  BaseClass - Navigated to Application URL
2026-05-14 13:28:13.106 [TestNG-test-OrangeHRM_ChromeTest-2] INFO  HomePageTest - 30
2026-05-14 13:28:13.106 [TestNG-test-OrangeHRM_ChromeTest-1] INFO  LoginPageTest - 29
2026-05-14 13:28:13.107 [TestNG-test-OrangeHRM_ChromeTest-2] INFO  HomePageTest - Provide Valid Username and Password
2026-05-14 13:28:13.107 [TestNG-test-OrangeHRM_ChromeTest-1] INFO  LoginPageTest - Provide Invalid Username and Password
2026-05-14 13:28:13.793 [TestNG-test-OrangeHRM_ChromeTest-4] INFO  BaseClass - Navigated to Application URL
2026-05-14 13:28:22.673 [TestNG-test-OrangeHRM_ChromeTest-1] INFO  LoginPageTest - Error message is displayed
2026-05-14 13:28:22.681 [TestNG-test-OrangeHRM_ChromeTest-1] INFO  LoginPageTest - 29
2026-05-14 13:28:22.681 [TestNG-test-OrangeHRM_ChromeTest-1] INFO  LoginPageTest - Provide Valid Username and Password
2026-05-14 13:28:22.811 [TestNG-test-OrangeHRM_ChromeTest-2] INFO  HomePageTest - Successfully Logged into Application
2026-05-14 13:28:24.588 [TestNG-test-OrangeHRM_ChromeTest-2] INFO  HomePageTest - Dashboard is Displayed
